row_num,shop,schedule,time,product,content_type,topic,title,url,creator,status,date,post,path,note,recorder,editor,actor,voice_over,script,vv,revenue,shares,comments,engagement_rate,ctor,media_url,content_status,publish_status,remark,tiktok_eloop,facebook_eloop,instagram_eloop,youtube_eloop,tiktok_moov,facebook_moov,youtube_moov,instagram_moov,notified
,EloopTH,,,ไม่ปักตะกร้า,Educate ,อวสานสายส่องสตอรี่ ฟีเจอร์ใหม่ ต้องส่งข้อความก่อนถึงจะเห็น,,https://www.tiktok.com/@eloopth/video/7339000932811836674,Yung,Done,2/24/2024,HUANG,/Volumes/graphic/_Graphic File/Guild/VDO/อวสานสายส่องสตอรี่ไอจี_1.mp4,,Yung,Guild,Huang,Huang,,,,,,,,,,,,,,,,,,,,
,Moov,,,CC01,Review,หัวชาร์จในรถ ชาร์จเร็ว38W ?!?,,https://www.tiktok.com/@moovthailand/video/7338991504242806018?is_from_webapp=1&sender_device=pc&web_id=7335655813602330120,Japan,Done,2/23/2024,Japan,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/CC01 หัวชาร์จในรถ.MOV,,Japan,Japan,Japan,Japan,,,,,,,,,,,,,,,,,,,,
,Moov,,,PB01,Review,แบตสำรองครบจบ PB01,,https://www.tiktok.com/@moovthailand/video/7337626875264650514?lang=en,Moth,Done,2/20/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/PB01.mov,,Moth,Moth,Moth,Music,,,,,,,,,,,,,,,,,,,,
,Moov,,,ไม่ปักตะกร้า,Educate ,5 เหตุผล ที่ทำไม ห้ามแบตสำรองโดนน้ำ!!,,https://www.tiktok.com/@moovthailand/video/7338721386002713863?lang=en,Yung,Done,2/23/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/5 เหตุผลที่ห้ามให้แบตสำรองเปียกน้ำ_Moov_Tiktok.mp4,ฝากเปลี่ยน ใส่เอฟเฟคเสียงพากษ์,Guild,Guild,Guild,Nile,,,,,,,,,,,,,,,,,,,,
,Moov,,,MR01,Review,การติดใช้งานแผ่นวงแหวนโลหะ,,https://vt.tiktok.com/ZSFrByqB3/,Ann,Done,2/22/2024,Japan,/Volumes/graphic/_Video Content/Short Video/2024/Moov/Feb/MR01.mov,,,,,,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,ไม่ปักกตะหร้า,Campaign,กิจกรรม มือใหม่หัดรีวิว,,https://www.tiktok.com/@eloopth/video/7338696992429853972,Huang,Done,2/23/2024,HUANG,,"#TikTokShopช้อปกันวันเงินออก
#ช้อปกันวันเงินออก 
#33ลดฉ่ำนาทีทอง",,,,,,179.0,0.0,0.0,0.0,0.56%,0.00%,,,,,,,,,,,,,
26 Feb - 3 Mar,EloopTH,,,"E29
E36
E37",Review,3 รุ่น 3 ความจุ E28 E36 E37,,https://www.tiktok.com/@eloopth/video/7341802160876752136,Ann,Done,3/2/2024,HUANG,"/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Feb/เทียบ E29,E37,E36.mov",#33ลดฉ่ำนาทีทอง,Ann,Ann,Ann,Nile,,3232.0,0.0,151.0,0.0,6.31%,0.00%,,,,,,,,,,,,,
,EloopTH,,,E67,Review,รีวิว E67,,https://www.tiktok.com/@eloopth/video/7342148442870828309,Ann,Done,3/3/2024,HUANG,/Volumes/graphic/_Video Content/Short Video/2024/Eloop/Mar/Unbox E67.mov,#33ลดฉ่ำนาทีทอง,Ann,Ann,Ann,Huang,,5128.0,712.5,5.0,0.0,1.05%,4.35%,,,,,,,,,,,,,
,EloopTH,,,ไม่ปักตะกร้า,Educate ,ฟีเจอร์อ่านออกเสียงใน iPhone,,https://www.tiktok.com/@eloopth/video/7342155784349961480,Yung,Done,3/3/2024,Ploy,/Volumes/graphic/_Video Content/Short Video/2024/Educate/ฟีเจอร์ใหม่ให้ไอโฟนช่วยอ่านภาษาอังกฤษ_2.mp4,"#TikTokShopช้อปกันวันเงินออก
#ช้อปกันวันเงินออก",Yung,Guild,Guild,Nile,,,,,,,,,,,,,,,,,,,,
,EloopTH,,,,Campaign,โปรโมทแคมเปญ PayDay + 3.3 ลดฉ่ำ นาทีทอง,,https://www.tiktok.com/@eloopth/video/7341380754858855701,Huang,Done,3/1/2024,HUANG,,#33ลดฉ่ำนาทีทอง,Huang,Huang,Huang,Huang,,,,,,,,,,,,,,,,,,,,
